Name,Type,Mean index value,Index value SD,Mean index value (visible),Index value (visible) SD,Area [ha],index_name,source_folder,measurement,altitude_m,CV
ENRO3duzykwadrat,Area,0.94527,0.02921,0.94748,0.02581,0.00084,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.030901224
ENRO3malykwadrat,Area,0.94299,0.01998,0.94365,0.01848,0.00025,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.021187924
ENRO4duzykwadrat,Area,0.94084,0.02609,0.94258,0.02312,0.00083,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.027730539
ENRO4malykwadrat,Area,0.94674,0.02016,0.94713,0.01931,0.00025,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.021294125
ENRO5duzykwadrat,Area,0.94227,0.02562,0.9443,0.02222,0.00075,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.027189659
ENRO5malykwadrat,Area,0.94284,0.0213,0.94393,0.01918,0.00023,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.02259132
POLO2duzykwadrat,Area,0.92837,0.03193,0.93321,0.02627,0.00052,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.034393615
POLO2malykwadrat,Area,0.92588,0.02904,0.93031,0.02327,0.00031,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.031364756
POLO3duzykwadrat,Area,0.93939,0.03121,0.94203,0.02801,0.00066,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.033223688
POLO3malykwadrat,Area,0.93299,0.02367,0.93471,0.02115,0.00028,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.025370047
POLO4duzykwadrat,Area,0.94067,0.03085,0.94396,0.02647,0.00075,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.032795773
POLO4malykwadrat,Area,0.93599,0.02312,0.93732,0.02079,0.0003,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.024701119
POLO5duzykwadrat,Area,0.94187,0.02557,0.94333,0.02327,0.0007,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.02714812
POLO5malykwadrat,Area,0.94,0.02112,0.94043,0.02044,0.00025,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.022468085
ENRO2duzykwadrat,Area,0.75785,0.07016,0.75187,0.06693,0.00074,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.092577687
ENRO2malykwadrat,Area,0.78523,0.05724,0.77694,0.05294,0.0003,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.072895839
ENRO3duzykwadrat,Area,0.75648,0.08407,0.7463,0.07983,0.00084,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.111133143
ENRO3malykwadrat,Area,0.80245,0.05264,0.78832,0.04496,0.00025,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.065599103
ENRO4duzykwadrat,Area,0.77428,0.07245,0.76164,0.06664,0.00083,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.093570801
ENRO4malykwadrat,Area,0.818,0.05218,0.79606,0.04261,0.00025,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.063789731
ENRO5duzykwadrat,Area,0.78305,0.0734,0.76547,0.06669,0.00075,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.093736032
ENRO5malykwadrat,Area,0.80694,0.05395,0.78911,0.04499,0.00023,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.066857511
POLO2duzykwadrat,Area,0.73705,0.06563,0.73606,0.06432,0.00052,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.089044163
POLO2malykwadrat,Area,0.73878,0.06488,0.73716,0.06364,0.00031,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.087820461
POLO3duzykwadrat,Area,0.74671,0.07405,0.74184,0.07129,0.00066,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.099168352
POLO3malykwadrat,Area,0.75535,0.06035,0.75024,0.05646,0.00028,GNDVI,"10 55JZ12,09_ZAG50",10,50,0.079896737
